TC ID,Module,Page/Feature,Description,Test Type,Group,Status
TC007_010_doctor_dashboard_header_and_nav,Doctor,DoctorDashboard,Dashboard page title + sidebar nav links + hospital selector + notification bell with numeric badge,UI,"sanity, regression",To Be Added
TC012_012a_doctor_dashboard_todays_appointments,Doctor,DoctorDashboard,Today's Appointments section visible + appointment row data validation,UI,regression,To Be Added
TC013_073_doctor_dashboard_consultations_and_signout,Doctor,DoctorDashboard,Upcoming Consultations section with Join button + Sign Out button visible,UI,regression,To Be Added
TC075_075a_075b_doctor_dashboard_side_sections,Doctor,DoctorDashboard,Bed availability + Lab reports + Supply chain alerts sections all render,UI,regression,To Be Added
TC039_A01_A04_doctor_appointments_header_and_buttons,Doctor,DoctorAppointments,Page header + title 'Appointments' + subtitle + Calendar view button + New Appointment button,UI,"sanity, regression",To Be Added
TC040_A05_A08_doctor_appointments_tabs_and_stat_cards,Doctor,DoctorAppointments,Tab bar (Today active/Upcoming/Past) + stat card labels/values/sub-labels,UI,regression,To Be Added
TC_A09_A10_A13_doctor_appointments_toolbar_columns_pagination,Doctor,DoctorAppointments,Toolbar filters (search/2 selects/date picker) + table columns + pagination label,UI,regression,To Be Added
TC078_A11_A12_A14_doctor_appointments_rows_and_detail_panel,Doctor,DoctorAppointments,Appointments table has rows + row data validation + detail panel opens on row click,UI,regression,To Be Added
TC048_AN01_AN04_analytics_header_and_filter,Doctor,DoctorAnalytics,Time period filter + page title 'Analytics' + subtitle + Export button + range select options,UI,regression,To Be Added
TC_AN05_AN07_analytics_stat_cards,Doctor,DoctorAnalytics,Stat card labels + values + sub-labels all visible,UI,regression,To Be Added
TC_AN08_AN13_analytics_charts_and_diagnoses,Doctor,DoctorAnalytics,Appointments over time + types donut + per month chart + top diagnoses + charts grid has cards,UI,regression,To Be Added
TC049_SC01_SC04_doctor_supply_chain_ui_and_header_buttons,Doctor,DoctorSupplyChain,Supply Chain page UI + tile labels + title 'Supply Chain' + subtitle + Export + Add item buttons,UI,regression,To Be Added
TC081_SC08_doctor_supply_chain_filters_and_toolbar,Doctor,DoctorSupplyChain,Low Stock filter present + toolbar (search + 2 dropdowns),UI,regression,To Be Added
TC_SC05_SC07_supply_chain_stat_cards,Doctor,DoctorSupplyChain,Stat card labels + values + sub-labels (Total items/Low stock/Categories/Orders pending),UI,regression,To Be Added
TC_SC09_SC13_supply_chain_table_and_pagination,Doctor,DoctorSupplyChain,Table columns + rows + row data + pagination label + pagination buttons,UI,regression,To Be Added
TC_T01_T03_telemedicine_header_elements,Doctor,DoctorTelemedicine,Page title 'Telemedicine' + subtitle + Schedule session button,UI,regression,To Be Added
TC_T04_T06_telemedicine_stat_cards,Doctor,DoctorTelemedicine,Stat card labels (Live now/Today's video/This week/Avg duration) + values + sub-labels,UI,regression,To Be Added
TC_T07_T13_telemedicine_sections_and_past_table,Doctor,DoctorTelemedicine,Live & Upcoming section + empty state + Past sessions section + table columns + rows + row data + past card,UI,regression,To Be Added
TC017_130_132_patient_dashboard_header_and_sidebar,Patient,PatientHealthOverview,Dashboard UI + page header with title/date + top-right blood group/bell + sidebar profile (patient ID/age),UI,regression,To Be Added
TC018_133_134_patient_summary_tiles_and_banner,Patient,PatientHealthOverview,Summary tiles navigation + top banner info chips + summary tile sub-labels,UI,regression,To Be Added
TC019_135_upcoming_appointments_and_health_score,Patient,PatientHealthOverview,Upcoming Appointments section + Health Score qualitative label,UI,regression,To Be Added
TC020_136_137_patient_health_vitals_and_activity,Patient,PatientHealthOverview,Health Vitals panel + all 4 metrics + Recent Activity section,UI,regression,To Be Added
TC021_022_138_patient_medicines_notifications_and_ai,Patient,PatientHealthOverview,Medicines + notifications panels + AI Health Assistant widget + online status,UI,regression,To Be Added
TC074_139_patient_signout_and_no_nulls,Patient,PatientHealthOverview,Patient sign-out + no null/null values anywhere (BUG-002 check),UI,regression,To Be Added
TC023_150_152_patient_appointments_ui_header_sidebar,Patient,PatientAppointments,Appointments page UI + sub-label + top-right chips/menu + sidebar profile,UI,regression,To Be Added
TC024_156_patient_appointments_cards_or_empty_state,Patient,PatientAppointments,Appointment cards or empty state + empty-state message when no appointments,UI,regression,To Be Added
TC025_026_027_patient_book_appointment_flow,Patient,PatientAppointments,Book Appointment modal UI + mandatory field validation + successful booking flow,UI,regression,To Be Added
TC153_154_155_patient_appointments_banner_and_tabs,Patient,PatientAppointments,Consultation banner with Book Now + Upcoming tab with count + tab switching,UI,regression,To Be Added
TC030_082_158_159_patient_lab_reports_ui_and_banner,Patient,PatientLabReports,Lab Reports page UI + alert banner persistence + sub-label + top-right chip/bell,UI,regression,To Be Added
TC160_164_patient_lab_reports_ai_panel,Patient,PatientLabReports,AI Report Explanation panel + help text + suggested question chips + Ask input/send + AI disclaimer,UI,regression,To Be Added
TC165_166_patient_lab_reports_sidebar_and_no_nulls,Patient,PatientLabReports,Sidebar profile (patient ID/age) + no null/null anywhere (BUG-002),UI,regression,To Be Added
TC028_167_168_patient_medical_records_ui_and_header,Patient,PatientMedicalRecords,Medical Records UI + sub-label + top-right chip/bell,UI,regression,To Be Added
TC029_172_patient_medical_records_search,Patient,PatientMedicalRecords,Search filters records + search input always visible,UI,regression,To Be Added
TC169_170_171_patient_medical_records_panels_and_empty_state,Patient,PatientMedicalRecords,Two-panel layout + left panel empty state when no records + right panel default state,UI,regression,To Be Added
TC173_174_patient_medical_records_sidebar_and_no_nulls,Patient,PatientMedicalRecords,Sidebar profile + no null/null anywhere (BUG-002),UI,regression,To Be Added
TC033_035_036_patient_reminders_ui_header,Patient,PatientReminder,Medicine Reminders UI + sub-label + top-right chip/bell,UI,regression,To Be Added
TC037_038_patient_reminders_stat_tiles,Patient,PatientReminder,All 4 stat tile labels + stat tile sub-labels,UI,regression,To Be Added
TC039_040_041_patient_reminders_schedule_and_prescriptions,Patient,PatientReminder,Today's Schedule section with date + All Prescriptions section + empty states when no data,UI,regression,To Be Added
TC032_076_175_176_patient_telemedicine_ui_and_header,Patient,PatientTelemedicine,Telemedicine page UI + sessions or empty + sub-label + top-right chip/bell,UI,regression,To Be Added
TC177_180_patient_telemedicine_sections_and_empty_state,Patient,PatientTelemedicine,Upcoming empty state + Scheduled Sessions + Past Sessions sections + empty-state messages,UI,regression,To Be Added
TC181_182_patient_telemedicine_sidebar_and_no_nulls,Patient,PatientTelemedicine,Sidebar profile + no null/null anywhere (BUG-002),UI,regression,To Be Added
TC035_036_183_185_patient_ai_assistant_ui_and_modes,Patient,PatientAiAssistant,AI Assistant page UI + mode switching + sub-label + top-right chip/bell + mode section sub-labels,UI,regression,To Be Added
TC079_186_187_patient_ai_emergency_and_context,Patient,PatientAiAssistant,Emergency Note persistent + YOUR CONTEXT section + AI greeting bubble visible,UI,regression,To Be Added
TC188_189_patient_ai_ask_input_and_disclaimer,Patient,PatientAiAssistant,Ask input + send button + AI disclaimer visible,UI,regression,To Be Added
TC190_191_patient_ai_quick_actions_and_common_questions,Patient,PatientAiAssistant,QUICK ACTIONS section + COMMON QUESTIONS section visible,UI,regression,To Be Added
